,Total,Less than high school,High school graduate,Some college or technical school,College graduate
Alabama,36.1,43.4,34.4,37.3,32
Alaska,30.5,32.4,27.3,38.6,22.6
Arizona,31.4,36.1,32.5,32,27.2
Arkansas,37.4,41.4,37.8,37.8,33.6
California,26.2,36.7,30.8,25.7,18
Colorado,23.8,29.3,26.6,26.4,18.7
Connecticut,29.1,37.8,31.6,32.1,22.6
Delaware,34.4,34.3,38.5,35.5,29.1
District Of Columbia,23.8,39.4,34.9,33.1,15
Florida,27,28.9,30.3,27.7,22.1
Georgia,33.1,38.6,34.5,32.4,30.2
Hawaii,25,26.7,30.6,24.4,19.9
Idaho,29.5,31.7,28.1,30.5,28.6
Illinois,31.6,34.7,32.3,36.1,25.5
Indiana,35.3,45.6,34.9,36.4,29.5
Iowa,33.9,35.9,35.4,35.3,30
Kansas,35.2,32,36,39.1,31.2
Kentucky,36.5,41.2,34.5,39.1,32.5
Louisiana,35.9,32.3,37.9,39,31.3
Maine,31.7,29.9,36.9,34.3,23.9
Maryland,32.3,31.5,37.9,34.6,26.7
Massachusetts,25.2,32.7,27,29.4,19.6
Michigan,36,39.6,38.1,37.3,30.4
Minnesota,30.1,31.6,32.2,33.8,24.4
Mississippi,40.8,43.1,42.5,41.2,36.1
Missouri,34.8,41.8,36.4,36.1,28.5
Montana,28.3,33.8,30.8,29.8,22.5
Nebraska,34.1,35.4,36.6,36.2,28.9
Nevada,30.6,36,33.2,29.9,25.5
New Hampshire,31.8,37.8,36.8,33,25
New Jersey,25.7,26.6,31.1,27.8,20.1
New Mexico,31.7,32.6,35.4,33.1,25.3
New York,27.1,31.6,31,29.4,20.7
North Carolina,34,37,37,35.8,27.5
North Dakota,34.8,35.8,33.9,37.1,31.9
Ohio,34.8,36,36.3,36.7,30.3
Oklahoma,36.8,37.6,37.2,38.7,33.3
Oregon,29,28.5,31.8,31.5,23.9
Pennsylvania,33.2,35.9,35.6,35.4,27.2
Rhode Island,30,40.4,30.6,32.7,23.3
South Carolina,35.4,36.3,40.4,36.3,27.9
South Dakota,33,35.3,34.3,32.1,31.7
Tennessee,36.5,33.8,40.6,38.6,30
Texas,34,39.3,37.6,34.1,27.4
Utah,29.2,29.6,30.3,30.7,26.5
Vermont,26.6,37.7,30.1,28.4,19.5
Virginia,31.9,43.4,33.7,33.7,26.1
Washington,28.3,35.5,31.8,29.6,22.7
West Virginia,39.7,38,40.6,41.4,36.7
Wisconsin,34.2,36.5,38.7,36.2,25.9
Wyoming,29.7,34.4,29.3,33.4,23.1
