,Less than $15000,$15000 - $24999,$25000 - $34999,$35000 - $49999,$50000 - $74999,$75000 or greater
Alabama,41.7,40.6,38.9,35.8,35.4,32
Alaska,24.3,29.3,36.1,41.6,30.8,29.3
Arizona,33.4,37.8,31.8,33.4,31.5,28.1
Arkansas,43.4,38.8,31.6,40.4,39.8,35.1
California,31.3,29,34.4,28.6,25.2,23.1
Colorado,33.5,25.1,23.6,26.1,27,21.4
Connecticut,44.9,33.6,34.3,30.7,33.5,25
Delaware,41.9,37.7,36.8,33.3,41.2,32.3
District Of Columbia,42.5,37.9,37.5,27.6,16.7,15.7
Florida,24.7,33.2,30.5,29.2,26.8,24.1
Georgia,38.4,37.6,41.2,32.3,30.4,30
Hawaii,28.8,27.4,29.2,23.9,26.8,22.4
Idaho,33.6,32.3,29.8,30,29.9,28.2
Illinois,33,36.2,36.5,34.2,30.4,29.6
Indiana,40,38.6,37.5,38.9,35.8,32
Iowa,36.1,40.9,36.1,36.2,34.7,31.8
Kansas,40.2,36.9,36.6,38.1,37,34.4
Kentucky,35.7,39.4,39.5,37.2,39.4,37.8
Louisiana,34.5,37.6,38.1,31.2,41.2,35.9
Maine,36.1,33.7,31.6,35.1,33.4,29
Maryland,37.1,35,35.3,35.3,34,31
Massachusetts,28.9,31.3,28.9,28.1,24,24
Michigan,43.4,43.5,37.8,35,36.9,32.3
Minnesota,34.5,34.8,32.3,33,34.1,26.8
Mississippi,42.8,43.1,48.2,43.9,39.4,37.2
Missouri,37.5,37.7,35.9,37.2,35.5,34.2
Montana,35.4,32.1,30.9,31.1,30.7,23
Nebraska,35.7,35.9,37.6,34.2,36.8,32.6
Nevada,39.8,34.8,32.5,35.5,26.1,30.7
New Hampshire,41.3,35.6,34.4,33.2,34.2,28.7
New Jersey,36.3,31.8,28.9,28.8,29.2,24.3
New Mexico,37.1,36.6,30.9,28.3,31,29.9
New York,32.2,34.4,31.2,29.2,28.6,24.3
North Carolina,44,35,35.5,38.8,37.6,30.3
North Dakota,35.2,31.1,34.8,34.1,37.9,38
Ohio,43.7,37.1,39.2,39.5,31.7,31.1
Oklahoma,42.4,41.8,34.9,35,40.4,34.8
Oregon,33.7,34.4,29.7,30.5,26.3,28.4
Pennsylvania,42.4,39.2,30.6,37.8,35.8,29.4
Rhode Island,37.3,34.7,29.2,34.7,30.3,26.9
South Carolina,43.5,41.7,42.3,34.4,33.8,31.6
South Dakota,32.4,38.8,35.2,35.9,32.5,31
Tennessee,36.5,39,35.1,43.6,40.4,33.3
Texas,39.8,41.9,28.7,34.7,36.7,31.8
Utah,29.3,32.8,32.2,32.4,30.8,27.8
Vermont,38.7,26.2,28.1,25.1,29.4,24.4
Virginia,39.6,37.9,36.3,35.2,31.9,28.2
Washington,35.3,31,30,32.8,29.3,25.7
West Virginia,45.5,43.9,38.1,37.6,40.6,39.6
Wisconsin,44.7,38.9,32.7,36.5,35.8,30.1
Wyoming,33,33.9,32.6,27.3,29.9,30.2
